
PAW Database : abra.z80

Extracted by UNPAWS32 v2.1

General data
------------

Locations                           34
COMA    41 Verb
BEBE    41 Verb
BEBA    41 Verb
COMER   41 Verb
BEBER   41 Verb
COMO    42 Verb
DONDE   42 Verb
ABRE    43 Verb
ABRA    43 Verb
ABRIR   43 Verb
CIERR   44 Verb
CERRA   44 Verb
DESCI   45 Verb
STATU   47 Verb
ROMPE   49 Verb
MOSCA   50 Noun
BOLA    51 Noun
PELOT   51 Noun
CRUZ    52 Noun
APRET   52 Verb
APRIE   52 Verb
REMOV   53 Verb
REMUE   53 Verb
REVOL   53 Verb
REVUE   53 Verb
REMEN   53 Verb
ANILL   53 Noun
PAPIR   54 Noun
PERGA   54 Noun
POCIM   55 Noun
LIQUI   55 Noun
POLVO   56 Noun
ALBAM   56 Noun
MODO    57 Verb
ARANA   57 Noun
TARAN   57 Noun
PATAS   58 Noun
ENTRA   59 Verb
COLMI   59 Noun
TIRA    60 Verb
ESTIR   60 Verb
TIRAR   60 Verb
RESTO   60 Noun
MOVER   60 Verb
MUEVE   60 Verb
RATA    61 Noun
TRITU   61 Verb
RATON   61 Noun
ALZA    62 Verb
ARRAN   62 Verb
HINCA   62 Verb
ALZAR   62 Verb
ESCOB   62 Noun
V       63 Verb
CUCHA   63 Noun
D       64 Verb
ESPER   64 Verb
DUERM   64 Verb
DORMI   64 Verb
LIBRO   64 Noun
CALEN   65 Verb
CALIE   65 Verb
QUEMA   65 Verb
DICCI   65 Noun
BUSCA   66 Verb
ESCON   66 Verb
BOTEL   66 Noun
CADEN   67 Noun
MONED   68 Noun
QUESO   69 Noun
PELOS   70 Noun
UNO     71 Noun
DOS     72 Noun
TRES    73 Noun
PUERT   74 Noun
PORTA   74 Noun
DIAMA   75 Noun
TUNEL   76 Noun
AGUJE   76 Noun
PALAN   77 Noun
CUERN   78 Noun
ALCE    79 Noun
RENO    79 Noun
CABEZ   79 Noun
CIERV   79 Noun
CHAMO   79 Noun
BOCA    80 Noun
LENGU   81 Noun
CASCA   82 Noun
OLLA    83 Noun
MARMI   83 Noun
TELA    84 Noun
BURGE   85 Noun
CASTI   85 Noun
BARRI   86 Noun
TONEL   86 Noun
MAGIA   87 Noun
CONJU   88 Noun
LUZ     89 Noun
VELA    89 Noun
CANDE   89 Noun
RANUR   90 Noun
SUELO   91 Noun
PARED   92 Noun
ARMAD   93 Noun
ESCUD   94 Noun
CARCO   95 Noun
ESCOR   96 Noun
MURCI   96 Noun
ARCO    97 Noun
ARCOS   97 Noun
TECHO   98 Noun
SALA   101 Noun
BODEG  101 Noun
COMED  101 Noun
CUEVA  101 Noun
RECIB  101 Noun
TORRE  101 Noun
BIBLI  101 Noun
VENTA  102 Noun
BANDE  104 Noun
ESCAL  105 Noun
BAUL   106 Noun
COFRE  106 Noun
MADER  107 Noun
CAMA   108 Noun
LECHO  108 Noun
COLCH  109 Noun
SABAN  109 Noun
ALTAR  110 Noun
MESA   111 Noun
TRONO  112 Noun
ESTAN  113 Noun
MUEBL  114 Noun
TUNIC  115 Noun
PEQUE  130 Adjective
GRAND  131 Adjective
VIEJO  132 Adjective
NUEVO  133 Adjective
DURO   134 Adjective
SUAVE  135 Adjective
CORTO  136 Adjective
LARGO  137 Adjective
MAGIC  139 Adjective
RAPID  140 Adverb
SILEN  141 Adverb
DESPA  141 Adverb
LENTA  141 Adverb
CUIDA  144 Adverb
PRECA  144 Adverb
CAUTE  144 Adverb
CONTR  145 Adverb
_      255 RESERVED

--------------------------------------------------------------------------

MESSAGES
--------
Message   0  


Message   1  
{16}{5}ALCUINO:"

Message   2  
{16}{5}SALIGIA:"

Message   3  
{16}{5}TROCK:"

Message   4  
{16}{5}PETRUS:"

Message   5  
{16}{5}TRIMUS:"

Message   6  
{16}{5}RAMSUS:"Rrrrggghhh..."

Message   7  
Hola"^{7}

Message   8  
Hasta pronto"^{7}

Message   9  
Dime que quieres"^{7}

Message  10  
De nada"^{7}

Message  11  
No entiendo ni una letra"^{7}

Message  12  
No tengo ganas"^{7}

Message  13  
Esto no te lo puedo dar"^{7}

Message  14  
Lo siento, pero no puedo"^{7}

Message  15  
Me podrias repetir lo dicho"^{7}

Message  16  
Con que estas tenemos!"^{7}

Message  17  
Aqui la tienes"^{7}

Message  18  
En un libro alguna clave hallaras"^{7}

Message  19  
Haz buen uso de el"^{7}

Message  20  
No lo se"^{7}

Message  21  
Pidame lo que quiera"^{7}

Message  22  
Antes dame algo"^{7}

Message  23  
Como guste"^{7}

Message  24  
Quieres que cace algo?"^{7}

Message  25  
Ya la tengo!"^{7}

Message  26  
Muerta!"^{7}

Message  27  
No quiero!"^{7}

Message  28  
Fuera de aqui!"^{7}

Message  29  
Hay una tarantula escondida en un agujero.

Message  30  
La tarantula esta comiendo una mosca en el centro de la tela.

Message  31  
Saligia esta cerca de la marmita.

Message  32  
Saligia esta petrificada.

Message  33  
Hay una rata comiendo un trozo de queso.

Message  34  
Una mosca se posa en tu nariz, estornudas y remonta el vuelo.

Message  35  
Es de plata.

Message  36  
Tienen un escudo.

Message  37  
Es de oro con un diamante.

Message  38  
Parece hueco.

Message  39  
Es muy peluda.

Message  40  
Tiene restos de sangre de Ramsus.

Message  41  
Escrito en tinta negra puedes leer: Socarrimus limoni, y el resto tiene una especie de letras ilegibles.

Message  42  
Principe volveras a ser bebiendote una pocima con los siguientes ingredientes:^{7}-pelos de Satan^{7}-patas de tarantula^{7}-colmillo de dragon titurado^{7}-pocima magica

Message  43  
Tiene agujeritos.

Message  44  
Son negros.

Message  45  
Es de hierro.

Message  46  
No esta aqui"

Message  47  
Has de DECIR A ALGUIEN "ALGO" estando en la misma habitacion que ALGUIEN.

Message  48  
Se me ha escapado"

Message  49  
Maldito!"

Message  50  
Ya lo estaba"

Message  51  
Gracias"

Message  52  
Si no lo tiene!"

Message  53  
Estas muerto.

Message  54  
{16}{5}SATAN:"Nunca lo conseguiras!"

Message  55  
Este muro no lo puedes atravesar.

Message  56  
La puerta esta cerrada.

Message  57  
^{7}{5}{5}{16}{5}Satan te pincha con el tridente y sales volando. 

Message  58  
Al ver la cruz Satan se aparta.

Message  59  
Saligia coge los polvos, los huele, los prueba y se queda petrificada.

Message  60  
Ccrrooookk...

Message  61  
Un muro, al sur, se mueve.

Message  62  
El tabique, situado al oeste, se abre misteriosamente.

Message  63  
{3}{4}{16}{5}El pasaje secreto se cierra. 

Message  64  
Hay una palanca.

Message  65  
Increible! una moneda.

Message  66  
La lengua esta rodeada por dientes.

Message  67  
Aqui no hay ninguna cabeza de ciervo.

Message  68  
No hay nada.

Message  69  
Tiene una gran boca.

Message  70  
Con que?

Message  71  
No esta aqui.

Message  72  
Cuando lo vas a coger el raton se escapa con el queso.

Message  73  
Buen golpe!

Message  74  
Ramsus abre su inmensa boca y con su zarpa coge el raton y se lo come. Mientras lo hace uno de sus colmillos cae al suelo.

Message  75  
Al dejar el queso, aparece un ratoncito y lo empieza a comer.

Message  76  
Ay! grita Satan al arrancarle tres pelos.

Message  77  
Ya se los has arrancado.

Message  78  
En la marmita hay:

Message  79  
Algo cuece en su interior.

Message  80  
{16}{5}SATAN:"No lo intentes!"

Message  81  
La pocima quema mucho.

Message  82  
La coges, abres la mano para mirarla y la mosca se escapa.

Message  83  
La pones en la tela y la tarantula sale a comersela.

Message  84  
Chafff...

Message  85  
Arrancas un par de patas a la tarantula y dejas el resto del cuerpo al suelo.

Message  86  
Al cogerla la tarantula te pica. Al poco tiempo el veneno ha hecho efecto.

Message  87  
Una tarantula muerta cuelga de la tela.

Message  88  
Ya lo esta.

Message  89  
Donde?

Message  90  
{16}{5}. 

Message  91  
{4}{16}{5}El tiempo pasa 

Message  92  
No ves nada especial.

Message  93  
Polvos con alto poder petrificante.

Message  94  
Los siete pecados capitales.

Message  95  
Formula utilizada para escribir mensajes con acido citrico.

Message  96  
Castillo situado en la Baja Renania.

Message  97  
Lo siento, pero en esta pagina no se puede leer nada.

Message  98  
Aunque es muy viejo puedes leer alguna cosa.

Message  99  
Rapidamente le das una ojeada.

Message 100  
{4}{16}{5}Se abre una pasadizo, entras, la entrada se cierra. 

Message 101  
Especifica cual?

Message 102  
Hay un papiro.

Message 103  
No se te ocurra!

Message 104  
Lo echas en la marmita.

Message 105  
Bluff!Blufff...

Message 106  
No hay suficiente luz.

Message 107  
Hay unos polvos.

Message 108  
Esta vacio.

Message 109  
Ya lo esta.

Message 110  
Perfecto!

Message 111  
Aun no estan todos los ingredientes.

Message 112  
Le das un par de vueltas.

Message 113  
En un tonel dos veces tendras que llamar si quieres entrar."

Message 114  
No seas tan bruto.

Message 115  
Esta llena de carcoma.

Message 116  
Tiene unos barrotes de hierro.

Message 117  
Esta cerrado con llave.

Message 118  


Message 119  
Estos bichos se lo comen todo.

Message 120  
El techo tiene varios arcos.

Message 121  
El suelo esta reluciente.

Message 122  
Es de tierra.

Message 123  
Un gran murcielago que dormia en la sala, se despierta y moviendo sus grandes alas se va volando.

Message 124  
Un temible escorpion al ver un fantasma se asusta y se esconde.

Message 125  
Esta llena de polvo.

Message 126  
Ya no esta en la habitacion.

Message 127  
Estan llenos de carcoma.

Message 128  
Desprende un tufillo revelador.

Message 129  
Estaba buenisima"

Message 130  
Esta formada por un conglomerado de piedras.

Message 131  


Message 132  


Message 133  
Las ayudas te las daran los personajes.

Message 134  
Desde esta ventana puedes ver el exterior del castillo.

Message 135  
Los escudos estan colgados de la pared.

Message 136  
Desprenden gran cantidad de luz.

Message 137  
Iluminan toda la estancia.

Message 138  
El hierro que las forma se esta oxidando.

Message 139  
Hay algun resto de bicho que la tarantula ha comido.

Message 140  
Las banderas ondean con la brisa de la sala.

Message 141  
No te lo tomes todo al pie de la letra.

Message 142  
La amplia escalera es de piedra.

Message 143  
Tiene restos de vino.

Message 144  
El es el servicial mayordomo.

Message 145  
Tiene las dimensiones de una naranja.

Message 146  
Huele a vino.

Message 147  
Por su nariz sale humo.

Message 148  
Un vigilante implacable.

Message 149  
Tiene un gran tridente.

Message 150  
Una colcha de lana la cubre.

Message 151  
Es de algodon.

Message 152  
La madera que lo forma esta trabajada.

Message 153  
El monje.

Message 154  
Alcuino esta a su lado.

Message 155  
Es de madera de roble.

Message 156  
Trimus lleva puesta una gran tunica, su corona y el anillo de la familia.

Message 157  
Es de terciopelo.

Message 158  
Son viejisimos.

Message 159  
Esta llena de potingues.

Message 160  


Message 161  
Esto forma parte de la decoracion.

Message 162  
 Por la puerta levadiza norte del milenario castillo de Burgenfels no puede pasar ningun ser hechizado. Como conseguiras liberarte del hechizo y lograr atravesarla? Sera dificil, pero debes conseguirlo.^{7} A traves de la cerradura del robusto portalon situado hacia el este penetra en la sala un rayo de sol.

Message 163  
 Un largo pasillo se abre ante tus ojos. Los escudos colgados a ambos lados cubren la mayor parte de sus muros de piedra; de vez en cuando un ventanal nos orienta y nos indica que el pasillo esta dirigido de este a sur.

Message 164  
 Vas internandote en el castillo. La emocion aumenta y un ligero escalofrio te hace buscar una salida en cualquier direccion. Gran numero de cabezas de ciervo, trofeos de caza de los vencedores, se yerguen misteriosas iluminadas por grandes candelabros.

Message 165  
 Una enigmatica armadura vigila silenciosamente el pasillo. Su sombra crece y disminuye pavorosamente debido a la brisa que viaja de este a norte y mueve las llamas de las velas que iluminan la estancia. Un agujero en la parte inferior en la pared te llama la atencion.

Message 166  
 Continuas flotando con una idea fija: cruzar la puerta levadiza, pero falta todavia mucho camino por delante.^{7} Llegas a una gran sala cuyas tres puertas, norte, sur y este te dejan perplejo por un momento.

Message 167  
 Te dejas llevar por una fuerza misteriosa a traves de un pasillo de este a norte. A traves de un ventanal puedes divisar el magnifico paisaje de esta zona de la Baja Renania, pero hay algo mas potente que te impele a continuar. Una vieja y oxidada armadura es el unico testigo de tus movimientos.

Message 168  
 Te aproximas a la sala de los trofeos y con admiracion te detienes ante el mas preciado de todos: el Chamois. Precisamente frente a el, hacia el norte, se distingue una puerta y... Pasillo, pasillo de este a oeste.

Message 169  
 Por fin la torre. Desde aqui dominas todos los accesos al castillo. Sera la salida hacia el este la mas indicada?^{7} Paseas tu mirada por el recinto y observas que en una esquina hay una tela de un aracnido.

Message 170  
 No puedes entretenerte. Prosigues tu camino y al mirar al frente se yergue ante ti una cabeza de reno, trofeo de una de las mas importantes cacerias del rey.^{7} Avanzas y vas distinguiendo las banderas cuyo emblema es el signo del castillo de Burgenfels.

Message 171  
 Arrancar la bandera? Hincar la rodilla ante ella? Tu vista se pasea y dudas. Atencion! Una escalera te abre el paso al piso superior y continua hacia el sotano.

Message 172  
 Extenuado por el miedo y la angustia no sabes que hacer: puedes subir al piso superior, como? Puedes abrir el cofre y buscar solucion, tal vez seria mas descansado continuar tu camino hacia el este.

Message 173  
 La armadura de la pared este te intriga. Puedes alzar su visera para ver si encuentras alguna clave en la negrura del casco. Hay tambien una amplia escalera que sube del piso inferior. Oyes un ruido fantasmagorico que proviene de un portalon hacia el oeste.

Message 174  
 Has llegado a la zona mas alta del castillo. Solo te falta entrar en la torre y podrias conseguirlo siguiendo la direccion que te indica el viento: el este. La escalera se pierde en la oscuridad hasta el piso inferior.

Message 175  
 Adviertes un intenso y sofocante olor a madera humeda. No ves nada, pero lentamente te das cuenta de que has llegado a una escalera.^{7} Tanteas las paredes humedas y por una estrechisima fisura adviertes una posibilidad de huida hacia el sur. Estas ante un gran dilema: baja o vas al sur.

Message 176  
 Te lanzas hacia lo hondo, y sale asustado un murcielago que huye hacia el norte. Te ocultas en el hueco de la escalera. El frio es cada vez mas penetrante y te cala los huesos.

Message 177  
 Un escalofrio te recorre el cuerpo. Avanzas tanteando el suelo hasta adivinar unos salientes en la pared. No hay nada mas en ninguna parte? Imposible. Es necesario salir de aqui. Sera posible ir al oeste?

Message 178  
 En un rincon de la bodega se halla Trock entretenido y jugueteando con una pelota. Intentas alcanzar un barril, pero por culpa de tus nervios te quedas paralizado por unos segundos. Trock mira insistentemente hacia la puerta este.

Message 179  
 La bodega, los grandes toneles impresionan con sus dimensiones. Estaran en realidad todos llenos de vino? Ante tus pies una hilera de hormigas cruza de este a oeste.

Message 180  
 Rrrggg... en el subterraneo el hambriento dragon Ramsus ruge y se impacienta. Como podras acercarte a el?^{7} El fondo de la cueva se pierde hacia el oeste.

Message 181  
 Es posible que no haya nadie? Deberas combatir contra una fuerza invisible? Las inmoviles cadenas situadas en la pared parece que te miran. Excepto hacia el sur todas las salidas son posibles.

Message 182  
 Quieres abrir la puerta oeste, pero sabes que el implacable Petrus, su guardian, la vigila dia y noche. Te das cuenta de que tu situacion es peligrosa y debes salir hacia el sur.

Message 183  
 Sigues en los calabozos. Habra intentado algun prisionero huir por ese tunel en direccion a las profundidades de la Tierra? El calabozo prosigue hacia el sur.

Message 184  
 Un olor a azufre y un calor insoportable te indican que vas a encontrarte con Satan. Efectivamente, ahi esta, imponente, gigante. Su mirada asusta a cualquier ser, pero tu Clus d'Elendort, la logras soportar a pesar del hechizo de la malvada Saligia.

Message 185  
 Te quedas quieto. Has entrado en la camara real. Un confortable lecho atrae tu atencion; un rico desel con suntuosos cortinajes impide que alejes la mirada de la cama. Con gusto descansarias, pero una puerta hacia el este te tienta.

Message 186  
 Has llegado al aposento destinado a los invitados de Burgenfels. Debes dominar tu impresion al pensar que en esta cama situada en una esquina de la habitacion han descansado caballeros tan famosos como el Caballero Negro, Odon de Les, Hugo de Pontignac...^{7} Una fuerza misteriosa te indica que a tus espaldas, al este, hay una puerta.

Message 187  
 La penumbra del recinto apenas te deja ver. Poco a poco te acostumbras a ella y ves a Alcuino el monje. La luz parpadeante de la vela alarga en las paredes la sombra de Alcuino. Que estara haciendo en el altar?

Message 188  
 Oh maravilla! Suculentos manjares resplandecen sobre la mesa que se halla en el centro de la sala. Un enorme candelabro ilumina la estancia. Los comensales no tardaran en llegar, mientras puedes ir al norte y al oeste.

Message 189  
 Por fin el majestuoso trono flanqueado por banderas de todos los condados se alza ante ti.^{7} El rey Trimus te mira fijamente. Sus ojos intensos y vivos no se apartan de tu figura. Finalmente desvia su mirada hacia una puerta situada en el ala sur.

Message 190  
 Miles de libros reposan en esta biblioteca. Que secretos hallaras en sus centenarias hojas? La sabiduria de siglos se guarda en ellos.^{7} Que mejor lugar que una biblioteca para encontrar un pasaje secreto. Te llama la atencion un portalon hacia el sur.

Message 191  
 Pocimas, conjuros, maleficios... luces enigmaticas y un olor intenso y nauseabundo es lo que te espera en la guarida de la bruja Saligia. Un liquido humeante se cuece en la marmita de la bruja. Hacia el sur esta la salida.

Message 192  
^{7}^{7}^{7}^{7}         {16}{3} {1}ABRACADABRA^{7}^{7}^{7}^{7}^{7} {16}{5}  {1}PROGRAMA Y GRAFICOS: EGROJ^{7}{0}^{7}    {16}{6}        OdiseA^{7}           SOFTWARE^{7}^{7}^{7}^{7} {2}  {16}{3}   {127} {1}PROEIN,S.A. 1988.


--------------------------------------------------------------------------

SYSTEM MESSAGES
---------------
System Message   0  
Esta demasiado oscuro para ver.

System Message   1  
Tambien puedes ver:

System Message   2  
^{7}Ahora, que?^{7}

System Message   3  
^{7}Que mas?^{7}

System Message   4  
^{7}Que debo hacer ahora?^{7}

System Message   5  
^{7}Que mas debo hacer?^{7}

System Message   6  
Perdona pero no te entiendo.

System Message   7  
No puedes ir en esa direccion.

System Message   8  
No puedes hacer eso.

System Message   9  
Llevas: 

System Message  10  


System Message  11  
nada de nada.

System Message  12  
Seguro?^{7}

System Message  13  
Otra partida?^{7}

System Message  14  
Adios...^{7}

System Message  15  
Muy bien.

System Message  16  
^{7}   {1}     {16}{5}PULSA UNA TECLA{16}{7}

System Message  17  


System Message  18  


System Message  19  


System Message  20  
.^{7}

System Message  21  


System Message  22  


System Message  23  
No llevas puesto eso.

System Message  24  
No puedes. Lo llevas puesto.

System Message  25  
Eso ya lo tienes.

System Message  26  
Aqui no esta.

System Message  27  
No puedes llevar mas cosas.

System Message  28  
Esto no lo tienes.

System Message  29  


System Message  30  
S

System Message  31  
N

System Message  32  
                         {16}{3} Mas>>>

System Message  33  
{16}{6}-

System Message  34  
{16}{6}{18}{1}{143}{18}{0}

System Message  35  


System Message  36  
^{7}{16}{7}Hecho.

System Message  37  


System Message  38  


System Message  39  
^{7}{16}{7}Hecho.

System Message  40  
Eso no te lo puedes poner.

System Message  41  
Eso no te lo puedes quitar.

System Message  42  


System Message  43  
Eso pesa demasiado.

System Message  44  


System Message  45  


System Message  46  
, 

System Message  47  
 y 

System Message  48  
.^{7}

System Message  49  
Eso no lo tengo.^{7}

System Message  50  


System Message  51  
.^{7}

System Message  52  


System Message  53  
nada.


--------------------------------------------------------------------------

LOCATIONS
---------
Location   0  


Location   1  


Location   2  


Location   3  


Location   4  


Location   5  


Location   6  


Location   7  


Location   8  


Location   9  


Location  10  


Location  11  


Location  12  


Location  13  


Location  14  


Location  15  


Location  16  


Location  17  


Location  18  


Location  19  


Location  20  


Location  21  


Location  22  


Location  23  


Location  24  


Location  25  


Location  26  


Location  27  


Location  28  


Location  29  


Location  30  


Location  31  
 Has salido del castillo y te pierdes en el aire.

Location  32  


Location  33  
 Por fin vuelves a ser humano.^{7}Ahora ya solo te queda encontrar^{7}  a la princesa. La clave es:^{7}^{7} {16}{3}YO CLUS A VIOLETA ENCONTRARE{16}{7}


--------------------------------------------------------------------------

CONNECTIONS
-----------
Location   1:  E     2
               S     26
               N     31
               O     31

Location   2:  S     3
               O     1
               E     28
               N     31

Location   3:  N     2
               S     4
               E     27
               O     26

Location   4:  N     3
               E     10
               O     25
               S     31

Location   5:  N     29
               E     6
               S     7

Location   6:  S     12
               N     24
               O     5
               E     31

Location   7:  N     5
               E     12
               O     11
               S     31

Location   8:  O     13
               N     31
               E     31
               S     31

Location   9:  O     31
               N     31

Location  10:  N     27
               O     4
               SUBE  12
               BAJA  16
               E     31
               S     31

Location  11:  E     7
               SUBE  13
               S     31
               O     31

Location  12:  N     6
               O     7
               BAJA  10
               E     31
               S     31

Location  13:  E     8
               BAJA  11
               N     31
               S     31
               O     31

Location  14:  S     18
               BAJA  15

Location  15:  SUBE  14
               N     21

Location  16:  O     18
               SUBE  10

Location  17:  E     18

Location  18:  O     17
               E     16

Location  19:  E     20

Location  20:  N     22
               O     19
               E     21

Location  21:  S     15

Location  22:  S     20

Location  23:  SUBE  22

Location  24:  S     6
               O     29
               N     31
               E     31

Location  25:  N     26
               E     4
               S     31
               O     31

Location  26:  N     1
               S     25
               E     3
               O     31

Location  27:  N     28
               S     10
               O     3
               E     31

Location  28:  S     27
               O     2
               N     31
               E     31

Location  29:  S     5
               E     24
               N     31

Location  30:  O     31

--------------------------------------------------------------------------

OBJECT NAMES
------------
Object   0  


Object   1  
una cruz

Object   2  
una moneda de oro

Object   3  
el anillo de Trimus

Object   4  
polvos de albamid

Object   5  
una tarantula hecha polvo

Object   6  
un par de patas de aracnido

Object   7  
el colmillo de Ramsus

Object   8  
restos de colmillo

Object   9  
un pergamino

Object  10  
una mosca chafada

Object  11  
un ratoncito muerto

Object  12  
un trozo de queso

Object  13  
una escoba magica

Object  14  
tres pelos de Satan

Object  15  
una cuchara

Object  16  
un libro de magia

Object  17  
el libro de conjuros

Object  18  
un diccionario

Object  19  
una botella

Object  20  
una cadena

Object  21  
un cascanueces

Object  22  
la pocima de Saligia

Object  23  
un liquido humeante


--------------------------------------------------------------------------

OBJECT WORDS
------------
Object   0    _     _    
Object   1    CRUZ  52 _    
Object   2    MONED 68 _    
Object   3    ANILL 53 _    
Object   4    POLVO 56 _    
Object   5    ARANA 57 _    
Object   6    PATAS 58 _    
Object   7    COLMI 59 _    
Object   8    RESTO 60 _    
Object   9    PAPIR 54 _    
Object  10    MOSCA 50 _    
Object  11    RATA  61 _    
Object  12    QUESO 69 _    
Object  13    ESCOB 62 MAGIC 139
Object  14    PELOS 70 _    
Object  15    CUCHA 63 _    
Object  16    LIBRO 64 _    
Object  17    LIBRO 64 _    
Object  18    DICCI 65 _    
Object  19    BOTEL 66 _    
Object  20    CADEN 67 _    
Object  21    CASCA 82 _    
Object  22    POCIM 55 _    
Object  23    _     _    

--------------------------------------------------------------------------

INITIALLY AT
------------
Object   0    NC
Object   1    NC
Object   2    NC
Object   3    NC
Object   4    NC
Object   5    NC
Object   6    NC
Object   7    NC
Object   8    NC
Object   9    NC
Object  10    NC
Object  11    NC
Object  12    27
Object  13    30
Object  14    NC
Object  15    27
Object  16    29
Object  17    29
Object  18    29
Object  19    18
Object  20    6
Object  21    11
Object  22    32
Object  23    NC

--------------------------------------------------------------------------

OBJECT WEIGHT AND TYPE
----------------------
Object   0:  weights   1                     
Object   1:  weights   7                     
Object   2:  weights   4                     
Object   3:  weights   3                     
Object   4:  weights   1                     
Object   5:  weights   2                     
Object   6:  weights   1                     
Object   7:  weights   2                     
Object   8:  weights   1                     
Object   9:  weights   3                     
Object  10:  weights   2                     
Object  11:  weights  10                     
Object  12:  weights   3                     
Object  13:  weights  10                     
Object  14:  weights   2                     
Object  15:  weights   7                     
Object  16:  weights   7                     
Object  17:  weights   7                     
Object  18:  weights   7                     
Object  19:  weights   7                     
Object  20:  weights   9                     
Object  21:  weights   4                     
Object  22:  weights   1                     
Object  23:  weights   1                     

--------------------------------------------------------------------------

RESPONSE TABLE
--------------
*     *          AT            30
                 EQ            16   0
                 PROCESS       14
                 DONE        

*     *          EQ            33  63
                 COPYFF       233  33
                 COPYFF       234  34
                 COPYFF       243  43
                 COPYFF       244  44
                 COPYFF       245  45

*     *          COPYFF        33 233
                 COPYFF        34 234
                 COPYFF        43 243
                 COPYFF        44 244
                 COPYFF        45 245
                 MOVE          38
                 DESC        
                 LT            33  14
                 SYSMESS        7
                 DONE        

S     _          AT            30
                 MES           55
                 DONE        

S     _          AT             9
                 EQ            23   0
                 MES           55
                 DONE        

S     _          AT             9
                 GOTO          30
                 DESC        

E     _          AT            30
                 MES           55
                 DONE        

E     _          AT             9
                 MES           60
                 MES           63
                 LET           22   0
